Code,Department,Status,Quota,Current Quota
DSAI301.01,ALL,ALL,Consent Of Instructor,0
ASIA502.02,ALL,ALL,Consent Of Instructor,2
ASIA519.02,ALL,ALL,Consent Of Instructor,5
ASIA521.02,ALL,ALL,Consent Of Instructor,1
ASIA527.02,ALL,ALL,Consent Of Instructor,2
ASIA530.02,ALL,ALL,Consent Of Instructor,1
ASIA543.02,ALL,ALL,Consent Of Instructor,2
ASIA548.01,ALL,ALL,Consent Of Instructor,2
ASIA549.01,ALL,ALL,Consent Of Instructor,3
ASIL514.01,ALL,ALL,Consent Of Instructor,0
ASIA502.01,ALL,ALL,Consent Of Instructor,3
ASIA519.01,ALL,ALL,Consent Of Instructor,4
ASIA521.01,ALL,ALL,Consent Of Instructor,2
ASIA527.01,ALL,ALL,Consent Of Instructor,4
ASIA530.01,ALL,ALL,Consent Of Instructor,1
ASIA536.01,ALL,ALL,Consent Of Instructor,5
ASIA539.01,ALL,ALL,Consent Of Instructor,4
ASIA543.01,ALL,ALL,Consent Of Instructor,1
ASIA579.01,ALL,ALL,Consent Of Instructor,4
ASIA591.01,ALL,ALL,Consent Of Instructor,11
ASIA593.01,ALL,ALL,Consent Of Instructor,4
ASIA690.01,ALL,ALL,Consent Of Instructor,5
ASIA690.02,ALL,ALL,Consent Of Instructor,5
ASIL502.01,ALL,ALL,Consent Of Instructor,4
ASIL505.01,ALL,ALL,Consent Of Instructor,0
ASIL506.01,ALL,ALL,0,0
ASIL508.01,ALL,ALL,Consent Of Instructor,0
ASIL510.01,ALL,ALL,Consent Of Instructor,0
ASIL516.01,ALL,ALL,Consent Of Instructor,2
ASIL518.01,ALL,ALL,Consent Of Instructor,0
ATA 535.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,7
ATA 582.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,8
ATA 588.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,4
ATA 613.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,13
ATA 655.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,7
ATA 681.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,11
ATA 684.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,7
ATA 688.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,4
ATA 68C.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,3
HTR 312.01,ALL,UNDERGRADUATE,45,46
HTR 312.02,ALL,UNDERGRADUATE,45,45
HTR 312.03,ALL,UNDERGRADUATE,45,45
HTR 312.04,ALL,UNDERGRADUATE,45,46
HTR 312.05,ALL,UNDERGRADUATE,45,45
HTR 312.06,ALL,UNDERGRADUATE,45,45
HTR 312.07,ALL,UNDERGRADUATE,45,45
HTR 312.08,ALL,UNDERGRADUATE,45,45
HTR 312.09,ALL,UNDERGRADUATE,45,47
HTR 312.10,ALL,UNDERGRADUATE,45,45
HTR 312.11,ALL,UNDERGRADUATE,45,50
HTR 312.12,ALL,UNDERGRADUATE,45,33
HTR 312.13,ALL,UNDERGRADUATE,45,32
HTR 312.14,ALL,UNDERGRADUATE,45,28
HTR 312.15,ALL,UNDERGRADUATE,45,45
HTR 312.16,ALL,UNDERGRADUATE,45,30
HTR 312.17,ALL,UNDERGRADUATE,45,44
HTR 312.18,ALL,UNDERGRADUATE,45,45
HTR 312.19,ALL,UNDERGRADUATE,45,47
HTR 312.20,ALL,UNDERGRADUATE,45,45
HTR 312.21,ALL,UNDERGRADUATE,45,46
HTR 312.22,ALL,UNDERGRADUATE,45,35
HTR 312.23,ALL,UNDERGRADUATE,45,45
HTR 312.24,ALL,UNDERGRADUATE,45,45
HTR 312.25,ALL,UNDERGRADUATE,45,51
HTR 312.26,ALL,UNDERGRADUATE,45,46
HTR 312.27,ALL,UNDERGRADUATE,45,45
HTR 312.28,ALL,UNDERGRADUATE,45,45
HTR 312.29,ALL,UNDERGRADUATE,45,45
HTR 312.30,ALL,UNDERGRADUATE,45,44
HTR 312.31,ALL,UNDERGRADUATE,45,45
HTR 312.32,ALL,UNDERGRADUATE,45,45
HTR 312.33,ALL,UNDERGRADUATE,45,45
HTR 312.34,ALL,UNDERGRADUATE,45,45
HTR 312.35,ALL,UNDERGRADUATE,45,45
HTR 312.36,ALL,UNDERGRADUATE,45,45
HTR 312.37,ALL,UNDERGRADUATE,45,45
HTR 406.01,ALL,ALL,Consent Of Instructor,22
AUTO502.01,AUTOMOTIVE ENGINEERING,ALL,Unlimited,5
AUTO526.01,AUTOMOTIVE ENGINEERING,ALL,Unlimited,5
AUTO532.01,AUTOMOTIVE ENGINEERING,ALL,Unlimited,5
AUTO580.01,AUTOMOTIVE ENGINEERING,ALL,Unlimited,5
AUTO590.01,AUTOMOTIVE ENGINEERING,ALL,Unlimited,1
AUTO591.01,AUTOMOTIVE ENGINEERING,ALL,Unlimited,1
BM 500.01,ALL,ALL,Unlimited,14
BM 502.01,ALL,ALL,Unlimited,9
BM 504.01,ALL,ALL,Unlimited,9
BM 517.01,ALL,ALL,Consent Of Instructor,2
BM 525.01,ALL,ALL,Unlimited,14
BM 536.01,ALL,ALL,Unlimited,0
BM 537.01,ALL,ALL,Consent Of Instructor,5
BM 541.01,ALL,ALL,Consent Of Instructor,9
BM 545.01,ALL,ALL,Consent Of Instructor,4
BM 584.01,ALL,ALL,Consent Of Instructor,0
BM 588.01,ALL,ALL,Consent Of Instructor,8
BM 591.01,ALL,ALL,Unlimited,3
BM 592.01,ALL,ALL,Unlimited,6
BM 597.01,ALL,ALL,Unlimited,24
BM 599.01,ALL,ALL,Unlimited,6
BM 59B.01,ALL,ALL,Unlimited,7
BM 59D.01,ALL,ALL,Unlimited,21
BM 600.01,ALL,ALL,12,12
BM 601.01,ALL,ALL,Unlimited,6
BM 611.01,ALL,ALL,Unlimited,3
BM 633.01,ALL,ALL,Consent Of Instructor,4
BM 641.01,ALL,ALL,Consent Of Instructor,11
BM 686.01,ALL,ALL,Consent Of Instructor,9
BM 690.16,ALL,ALL,Consent Of Instructor,0
BM 691.01,ALL,ALL,Consent Of Instructor,9
BIS 596.02,ALL,ALL,Consent Of Instructor,1
BIS 596.11,ALL,ALL,Consent Of Instructor,1
BIS 690.02,ALL,ALL,Consent Of Instructor,1
BIS 690.11,ALL,ALL,Consent Of Instructor,1
CHE 202.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,80
CHE 203.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,20
CHE 222.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,79
CHE 232.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,56
CHE 302.01,CHEMICAL ENGINEERING,UNDERGRADUATE,36,33
CHE 302.02,CHEMICAL ENGINEERING,UNDERGRADUATE,36,28
CHE 334.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,84
CHE 342.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,75
CHE 386.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,67
CHE 400.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Consent Of Instructor,24
CHE 413.01,ALL,ALL,Consent Of Instructor,12
CHE 441.01,CHEMICAL ENGINEERING,UNDERGRADUATE,22,21
CHE 460.01,ALL,ALL,Consent Of Instructor,28
CHE 462.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,59
CHE 484.01,CHEMICAL ENGINEERING,UNDERGRADUATE,8,7
CHE 487.01,CHEMICAL ENGINEERING,UNDERGRADUATE,20,17
CHE 487.01,MECHANICAL ENGINEERING,UNDERGRADUATE,5,6
CHE 492.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,56
CHE 529.01,ALL,ALL,Consent Of Instructor,17
CHE 542.01,ALL,ALL,Consent Of Instructor,11
CHE 578.01,ALL,ALL,Consent Of Instructor,6
CHE 589.01,ALL,ALL,Consent Of Instructor,8
CHE 690.01,ALL,ALL,Consent Of Instructor,1
CHE 690.02,ALL,ALL,Consent Of Instructor,3
CHE 690.03,ALL,ALL,Consent Of Instructor,0
CHE 690.04,ALL,ALL,Consent Of Instructor,3
CHE 690.06,ALL,ALL,0,0
CHE 690.07,ALL,ALL,Consent Of Instructor,1
CHE 690.09,ALL,ALL,Consent Of Instructor,0
CHE 690.11,ALL,ALL,Consent Of Instructor,1
CHE 690.12,ALL,ALL,Consent Of Instructor,7
CHE 690.13,ALL,ALL,Consent Of Instructor,5
CHE 690.14,ALL,ALL,Consent Of Instructor,6
CHE 690.16,ALL,ALL,Consent Of Instructor,2
CHE 790.01,ALL,ALL,Consent Of Instructor,0
CHE 790.02,ALL,ALL,Consent Of Instructor,4
CHE 790.03,ALL,ALL,Consent Of Instructor,1
CHE 790.04,ALL,ALL,Consent Of Instructor,2
CHE 790.06,ALL,ALL,0,0
CHE 790.07,ALL,ALL,Consent Of Instructor,3
CHE 790.09,ALL,ALL,Consent Of Instructor,2
CHE 790.11,ALL,ALL,Consent Of Instructor,2
CHE 790.12,ALL,ALL,Consent Of Instructor,6
CHE 790.13,ALL,ALL,Consent Of Instructor,4
CHE 790.14,ALL,ALL,Consent Of Instructor,1
CHE 790.15,ALL,ALL,Consent Of Instructor,1
CHEM103.01,CHEMICAL ENGINEERING,UNDERGRADUATE,Unlimited,17
CHEM103.01,CHEMISTRY,UNDERGRADUATE,Unlimited,23
CHEM103.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Unlimited,36
CHEM103.01,INTEGRATED BS&MS PROGRAM IN TEACHING CHEMISTRY,UNDERGRADUATE,Unlimited,5
CHEM103.01,INTEGRATED BS&MS PROGRAM IN TEACHING PHYSICS,UNDERGRADUATE,Unlimited,6
CHEM103.01,MOLECULAR BIOLOGY & GENETICS,UNDERGRADUATE,Unlimited,14
CHEM103.01,TEACHING CHEMISTRY,UNDERGRADUATE,Unlimited,5
CHEM103.01,TEACHING CHEMISTRY PR.,UNDERGRADUATE,Unlimited,7
CHEM103.01,TEACHING PHYSICS,UNDERGRADUATE,Unlimited,5
CHEM103.01,TEACHING PHYSICS PR.,UNDERGRADUATE,Unlimited,7
