Code,Department,Status,Quota,Current Quota,Availability
DSAI301.01,ALL,ALL,Consent Of Instructor,0,Available
ASIA502.02,ALL,ALL,Consent Of Instructor,2,Available
ASIA519.02,ALL,ALL,Consent Of Instructor,5,Available
ASIA521.02,ALL,ALL,Consent Of Instructor,1,Available
ASIA527.02,ALL,ALL,Consent Of Instructor,2,Available
ASIA530.02,ALL,ALL,Consent Of Instructor,1,Available
ASIA543.02,ALL,ALL,Consent Of Instructor,2,Available
ASIA548.01,ALL,ALL,Consent Of Instructor,2,Available
ASIA549.01,ALL,ALL,Consent Of Instructor,3,Available
ASIL514.01,ALL,ALL,Consent Of Instructor,0,Available
ASIA502.01,ALL,ALL,Consent Of Instructor,3,Available
ASIA519.01,ALL,ALL,Consent Of Instructor,4,Available
ASIA521.01,ALL,ALL,Consent Of Instructor,2,Available
ASIA527.01,ALL,ALL,Consent Of Instructor,4,Available
ASIA530.01,ALL,ALL,Consent Of Instructor,1,Available
ASIA536.01,ALL,ALL,Consent Of Instructor,5,Available
ASIA539.01,ALL,ALL,Consent Of Instructor,4,Available
ASIA543.01,ALL,ALL,Consent Of Instructor,1,Available
ASIA579.01,ALL,ALL,Consent Of Instructor,4,Available
ASIA591.01,ALL,ALL,Consent Of Instructor,11,Available
ASIA593.01,ALL,ALL,Consent Of Instructor,4,Available
ASIA690.01,ALL,ALL,Consent Of Instructor,5,Available
ASIA690.02,ALL,ALL,Consent Of Instructor,5,Available
ASIL502.01,ALL,ALL,Consent Of Instructor,4,Available
ASIL505.01,ALL,ALL,Consent Of Instructor,0,Available
ASIL506.01,ALL,ALL,0,0,Full
ASIL508.01,ALL,ALL,Consent Of Instructor,0,Available
ASIL510.01,ALL,ALL,Consent Of Instructor,0,Available
ASIL516.01,ALL,ALL,Consent Of Instructor,2,Available
ASIL518.01,ALL,ALL,Consent Of Instructor,0,Available
ATA 535.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,7,Available
ATA 582.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,8,Available
ATA 588.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,4,Available
ATA 613.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,13,Available
ATA 655.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,7,Available
ATA 681.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,11,Available
ATA 684.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,7,Available
ATA 688.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,4,Available
ATA 68C.01,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ALL,Consent Of Instructor,3,Available
HTR 312.01,ALL,UNDERGRADUATE,45,46,Try to get consent
HTR 312.02,ALL,UNDERGRADUATE,45,45,Full
HTR 312.03,ALL,UNDERGRADUATE,45,45,Full
HTR 312.04,ALL,UNDERGRADUATE,45,46,Try to get consent
HTR 312.05,ALL,UNDERGRADUATE,45,45,Full
HTR 312.06,ALL,UNDERGRADUATE,45,45,Full
HTR 312.07,ALL,UNDERGRADUATE,45,45,Full
HTR 312.08,ALL,UNDERGRADUATE,45,45,Full
HTR 312.09,ALL,UNDERGRADUATE,45,47,Try to get consent
HTR 312.10,ALL,UNDERGRADUATE,45,45,Full
HTR 312.11,ALL,UNDERGRADUATE,45,50,Try to get consent
HTR 312.12,ALL,UNDERGRADUATE,45,33,Available
HTR 312.13,ALL,UNDERGRADUATE,45,32,Available
HTR 312.14,ALL,UNDERGRADUATE,45,28,Available
